Site-YearCode,Transect,Point,Height ,Species,Plant code,Native Status,Life History,Stature
NMS-2010,32.0,28.0,Low,Bare ground,BG,-,-,-
NMS-2010,36.0,0.0,Low,Bare ground,BG,-,-,-
NMS-2010,36.0,24.0,Low,Bare ground,BG,-,-,-
NMS-2010,36.0,24.0,Low,Bare ground,BG,-,-,-
NMS-2010,40.0,4.0,Low,Bare ground,BG,-,-,-
NMS-2010,40.0,16.0,Low,Bare ground,BG,-,-,-
NMS-2010,40.0,20.0,Low,Bare ground,BG,-,-,-
NMS-2010,44.0,12.0,Low,Bare ground,BG,-,-,-
NMS-2010,44.0,20.0,Low,Bare ground,BG,-,-,-
NMS-2010,48.0,24.0,Low,Bare ground,BG,-,-,-
NMS-2010,56.0,12.0,Low,Bare ground,BG,-,-,-
NMS-2010,56.0,24.0,Low,Bare ground,BG,-,-,-
NMS-2010,56.0,28.0,Low,Bare ground,BG,-,-,-
NMS-2010,60.0,24.0,Low,Bare ground,BG,-,-,-
NMS-2010,60.0,28.0,Low,Bare ground,BG,-,-,-
NMS-2010,64.0,4.0,Low,Bare ground,BG,-,-,-
NMS-2010,64.0,20.0,Low,Bare ground,BG,-,-,-
NMS-2010,64.0,28.0,Low,Bare ground,BG,-,-,-
NMS-2010,68.0,8.0,Low,Bare ground,BG,-,-,-
NMS-2010,68.0,24.0,Low,Bare ground,BG,-,-,-
NMS-2010,68.0,28.0,Low,Bare ground,BG,-,-,-
NMS-2010,72.0,16.0,Low,Bare ground,BG,-,-,-
NMS-2010,76.0,12.0,Low,Bare ground,BG,-,-,-
NMS-2010,80.0,8.0,Low,Bare ground,BG,-,-,-
NUWO-2010,1.0,42.0,Low,Bare ground,BG,-,-,-
NUWO-2010,1.0,47.0,Low,Bare ground,BG,-,-,-
NUWO-2010,1.0,197.0,Low,Bare ground,BG,-,-,-
NUWO-2010,6.0,17.0,Low,Bare ground,BG,-,-,-
NUWO-2010,6.0,47.0,Low,Bare ground,BG,-,-,-
NUWO-2010,6.0,52.0,Low,Bare ground,BG,-,-,-
NUWO-2010,6.0,82.0,Low,Bare ground,BG,-,-,-
NUWO-2010,6.0,187.0,Low,Bare ground,BG,-,-,-
NUWO-2010,11.0,147.0,Low,Bare ground,BG,-,-,-
NUWO-2012,13.0,30.0,Low,Bare ground,BG,-,-,-
NUWO-2012,13.0,35.0,Low,Bare ground,BG,-,-,-
NUWO-2012,13.0,85.0,Low,Bare ground,BG,-,-,-
NUWO-2012,13.0,100.0,Low,Bare ground,BG,-,-,-
NUWO-2012,1.0,0.0,Low,Bare ground,BG,-,-,-
NUWO-2012,1.0,5.0,Low,Bare ground,BG,-,-,-
NUWO-2012,1.0,30.0,Low,Bare ground,BG,-,-,-
NUWO-2012,1.0,40.0,Low,Bare ground,BG,-,-,-
NUWO-2012,1.0,50.0,Low,Bare ground,BG,-,-,-
NUWO-2012,1.0,135.0,Low,Bare ground,BG,-,-,-
NUWO-2012,1.0,140.0,Low,Bare ground,BG,-,-,-
NUWO-2012,1.0,145.0,Low,Bare ground,BG,-,-,-
NUWO-2012,1.0,180.0,Low,Bare ground,BG,-,-,-
NUWO-2012,1.0,185.0,Low,Bare ground,BG,-,-,-
